	dendritic	endothelial	eosinophil	erythroblast	macrophage	monocyte	neutrophil	placenta	tcell	adipose	brain	fibroblast	heart	hepatocyte	lung	mammary	megakaryocyte	skeletal	small	unknown1
sample1	4.796577448283818e-07	0.060854916608113666	0.1375281191983302	0.0003684274563844037	0.029241235745171925	0.05487651030897854	0.28100428640720654	0.0005251892838310327	0.13555287560685722	3.9058406107843016e-12	3.4031522891724596e-11	0.01082196785680063	2.7807244273525286e-08	6.454920070938105e-10	2.485330604537546e-13	7.404646461881694e-07	0.03594862509818707	0.0072977903205351	0.22697700288886477	0.019001804607425458
sample2	1.0566535310070294e-05	0.06330286477361281	0.09674027161334445	0.0035939785734907586	0.1112136822976574	0.03371865000564327	0.3171859717891652	0.01090022341758519	0.21287252512828106	2.6518522063064063e-14	9.589855224279483e-16	0.005183815697290947	1.0683673261354551e-11	6.669395690773694e-08	1.7150873722176017e-15	7.060184827514686e-06	0.006593869033212305	0.018884406468802722	0.10358732128856335	0.01620472648854328
sample3	4.6168839676707325e-07	0.04193597253585683	0.18039133646431132	0.007745917781431696	0.05660593425565596	0.09966718065270355	0.1555325230230345	0.0021866427250348272	0.24916850678223645	6.611774477011208e-07	3.1020617807652453e-07	0.002160974215771123	2.0560709860234663e-06	3.3349716510202765e-08	1.951574128268835e-07	0.0009567426002957927	0.109906106711288	0.0028429619409500928	0.07614922392179625	0.014746258739495493
sample4	1.547887961713433e-10	3.409935906302852e-09	0.15618037963625314	4.4767280348231654e-07	0.030895341006562268	0.030935675698523245	0.1360646436911382	2.614623768664251e-19	0.3643464781988301	1.328751937523482e-08	8.416778614026626e-14	2.4984652875428104e-25	6.23590705074707e-09	2.1165064601433223e-05	9.991328987321181e-12	0.008331882741909317	0.07277541149762269	0.09247290096891805	0.09534283018361402	0.012632820540997639
sample5	8.724948094595955e-05	0.04899036961210692	0.11335482110632074	7.295568213207752e-06	0.01542139387506309	0.08773432814120369	0.24952729905692553	2.923966243165701e-15	0.19043149238605597	0.03376840920431208	0.011388738283426713	0.03935111848506542	8.631608245882352e-06	8.101289874845817e-05	0.0005046720533187546	4.989526768950387e-08	0.00022029896530109083	0.03595274804298401	0.059798551701822494	0.11337151963466939
sample6	1.3484982089643224e-05	0.03169417016154679	0.14196370574351813	0.04176883901667199	0.07937327283108014	0.07437873130823057	0.22562071173400686	0.0008128938016843584	0.14937019876877727	1.3158183969823413e-16	2.0907584125033017e-17	0.02547776396187397	4.982217641568155e-08	5.278431956173899e-17	2.1991627266528148e-18	1.0896705538033593e-09	0.0836869020181599	0.024850172453660207	0.11015492206604095	0.010834180240812088
sample7	2.413179948289452e-07	0.030992149375111116	0.16116634420949333	0.03670274887871684	0.10114186927435116	0.05350634738269084	0.22457784804854578	5.07349254971684e-05	0.14280398704369357	7.318438732829899e-08	2.4132090226018156e-10	0.0055399883870493475	1.877274930294284e-05	0.012769362582469919	8.801260457095242e-08	3.447965255819054e-05	0.09858556991752719	0.029223618897294787	0.10280167136012881	8.410455926130183e-05
sample8	3.3285376773374255e-06	0.03767379538148995	0.0456039580045175	0.00044017343753104517	0.056634649978405935	0.03820031323951412	0.38563727508572326	1.9551074011578463e-11	0.027373403446372263	0.0196050061097779	2.291632384635709e-05	0.006491151433580087	0.00030373302275028526	0.005018349491603393	0.0005142371536685077	3.614303212012157e-08	0.22851558256389667	1.0567025682839554e-12	0.08797758504612244	0.05998450557988286
sample9	0.0004543788651487419	0.06882952196443284	0.14643637368136603	0.034075597577807	0.04702858846373835	0.04230242421799018	0.46979809529886146	0.007024431797448032	0.00023113865112036827	1.4268596212161677e-05	2.2485551958042746e-08	1.0033154589455838e-09	2.471787055940305e-05	1.8251270988456428e-13	1.2469834402670472e-06	6.1766004017352004e-09	0.12349332917035083	6.303922815792031e-11	0.039226854784284414	0.021059002348550404
sample10	0.015461110547399487	0.22831919178883525	0.14249766474392755	0.047670402876611055	0.0008278788290575612	0.12563239060868597	0.22400643823220703	0.02649919680149908	0.004786720435076709	1.93776197480574e-10	9.340129910035945e-07	0.014600315472139648	5.740878148971126e-11	1.2603812787666953e-14	1.0259152122916872e-12	1.1041774555793427e-12	0.06509750859830074	1.3011950051409794e-08	0.09108372972351922	0.01351650406447196
